location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
Jalan Klang Lama (Old Klang Road),660000.0,992.0,3,2,2,Condominium,Corner,Partly Furnished
KLCC,2480000.0,1023.0,1,1,1,Serviced Residence,Intermediate,Partly Furnished
KLCC,1050000.0,1313.0,4,4,2,Serviced Residence,Corner,Partly Furnished
KLCC,1833000.0,925.0,1,1,1,Serviced Residence,Standard,Fully Furnished
Bukit Jalil,638000.0,721.0,2,1,1,Serviced Residence,Intermediate,Partly Furnished
Mont Kiara,1415000.0,1496.0,4,4,2,Condominium,Standard,Partly Furnished
KLCC,1380000.0,1701.0,4,4,2,Serviced Residence,Corner,Fully Furnished
KLCC,2800000.0,1103.0,2,2,0,Serviced Residence,Standard,Fully Furnished
Taman Desa,628000.0,1150.0,3,2,1,Condominium,Intermediate,Partly Furnished
Mont Kiara,1590000.0,1878.0,4,4,2,Condominium,Standard,Partly Furnished
Setapak,428000.0,918.0,4,2,2,Serviced Residence,Standard,Partly Furnished
Desa ParkCity,815000.0,1085.0,2,2,0,Condominium,Standard,Fully Furnished
KLCC,1450000.0,867.0,2,2,1,Condominium,Standard,Fully Furnished
Taman Tun Dr Ismail,2750000.0,2426.0,4,4,2,Serviced Residence,Standard,Partly Furnished
Setapak,428000.0,918.0,4,2,2,Serviced Residence,Standard,Unfurnished
Sentul,770000.0,1186.0,3,3,2,Condominium,Standard,Partly Furnished
KLCC,870000.0,1055.0,3,3,0,Serviced Residence,Standard,Fully Furnished
KLCC,1200000.0,976.0,2,2,1,Condominium,Intermediate,Partly Furnished
Segambut,720000.0,1577.0,4,3,2,Condominium,Corner,Fully Furnished
Bukit Jalil,1150000.0,1772.0,6,3,4,Condominium,Corner,Partly Furnished
Bukit Jalil,928000.0,1513.0,4,3,2,Condominium,Corner,Partly Furnished
KLCC,1350000.0,900.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),360000.0,1088.0,3,2,1,Condominium,Intermediate,Partly Furnished
KLCC,830000.0,473.0,0,1,0,Serviced Residence,Intermediate,Fully Furnished
Mont Kiara,1865000.0,2535.0,4,5,3,Condominium,Corner,Partly Furnished
KLCC,1308000.0,753.0,2,1,1,Condominium,Corner,Fully Furnished
KLCC,1760000.0,1159.0,3,2,2,Condominium,Corner,Fully Furnished
Sungai Besi,568000.0,904.0,2,2,2,Condominium,Corner,Partly Furnished
KLCC,1020000.0,813.0,3,2,1,Serviced Residence,Corner,Fully Furnished
KLCC,2400000.0,1103.0,2,2,1,Serviced Residence,Corner,Fully Furnished
KLCC,1099000.0,833.0,3,2,1,Serviced Residence,Standard,Fully Furnished
KLCC,1550000.0,910.0,2,2,2,Serviced Residence,Corner,Fully Furnished
Mont Kiara,1420000.0,1496.0,4,4,2,Condominium,Standard,Fully Furnished
Bukit Jalil,980000.0,1513.0,5,3,2,Condominium,Corner,Fully Furnished
Damansara Heights,2650000.0,2077.0,4,5,3,Serviced Residence,Standard,Partly Furnished
KLCC,1420000.0,976.0,3,2,1,Condominium,Corner,Partly Furnished
KLCC,2889000.0,1163.0,1,2,1,Serviced Residence,Intermediate,Fully Furnished
City Centre,1080000.0,1411.0,2,2,1,Condominium,Intermediate,Partly Furnished
City Centre,916000.0,1119.0,1,1,1,Condominium,Standard,Fully Furnished
Bangsar South,530000.0,638.0,1,1,0,Serviced Residence,Intermediate,Fully Furnished
KL Sentral,2434900.0,1873.0,4,4,1,Serviced Residence,Standard,Unfurnished
Damansara Heights,1600000.0,1152.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Cheras,535000.0,762.0,1,1,1,Serviced Residence,Intermediate,Partly Furnished
KLCC,1200000.0,1335.0,3,3,2,Serviced Residence,Standard,Fully Furnished
KL Sentral,2550000.0,1830.0,4,5,2,Serviced Residence,Corner,Partly Furnished
Ampang,1480000.0,1876.0,4,4,2,Condominium,Intermediate,Fully Furnished
Mont Kiara,618000.0,462.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
Mont Kiara,1590000.0,2201.0,4,3,2,Condominium,Standard,Partly Furnished
KLCC,900000.0,811.0,3,2,0,Serviced Residence,Standard,Fully Furnished
Mont Kiara,1950000.0,1832.0,5,0,3,Condominium,Standard,Partly Furnished
Mont Kiara,1700000.0,1496.0,4,4,2,Condominium,Standard,Fully Furnished
Mont Kiara,1950000.0,1830.0,5,4,2,Condominium,Standard,Partly Furnished
KLCC,2300000.0,1023.0,1,1,2,Serviced Residence,Corner,Partly Furnished
KLCC,1250000.0,1335.0,3,3,2,Serviced Residence,Corner,Fully Furnished
Jalan Klang Lama (Old Klang Road),370000.0,950.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
KL Eco City,1288972.0,1076.0,2,2,1,Condominium,Standard,Fully Furnished
Cheras,410000.0,885.0,2,2,2,Condominium,Corner,Partly Furnished
